,m_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified,total_score
1616,9274587,1444340,Entire home/apt,,Beacon Hill,4,4.5,4,1.0,149.0,2.0,42.357559,-71.07172,2016-05-18 20:48:49.299220,6.0120000000000005
2090,4128326,21415171,Entire home/apt,,East Boston,4,4.5,3,2.0,120.0,1.0,42.378273,-71.034163,2016-05-19 00:27:33.128972,6.0120000000000005
3154,91588,494453,Private room,,Dorchester,4,4.5,2,1.0,85.0,1.0,42.31358,-71.046968,2016-05-18 22:47:35.293268,6.0120000000000005
2116,10354248,4383223,Entire home/apt,,South Boston Waterfront,4,4.5,2,2.0,225.0,1.0,42.349187,-71.05041999999999,2016-05-18 21:11:47.898110,6.0120000000000005
3134,65363,319393,Private room,,North End,4,4.5,2,1.0,210.0,2.0,42.363408,-71.051808,2016-05-18 22:17:58.460568,6.0120000000000005
2240,3967611,1680669,Entire home/apt,,North End,4,4.5,3,1.0,225.0,3.0,42.362629,-71.053733,2016-05-18 21:06:38.429591,6.0120000000000005
1004,3606396,18175186,Entire home/apt,,Brighton,4,4.5,4,1.0,150.0,1.0,42.341276,-71.14638199999999,2016-05-19 02:48:53.925444,6.0120000000000005
3131,65353,319393,Private room,,North End,4,4.5,3,1.0,230.0,2.0,42.364359,-71.05109399999999,2016-05-18 21:47:20.795179,6.0120000000000005
836,9407895,41317613,Shared room,,Mission Hill,4,4.5,1,1.0,28.0,3.0,42.333804,-71.096172,2016-05-19 02:15:52.358833,6.0120000000000005
3120,7929879,1444340,Private room,,South Boston Waterfront,4,4.5,2,1.0,118.0,2.0,42.343309000000005,-71.055465,2016-05-19 01:08:18.810162,6.0120000000000005
